time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T10:27:00+02:00,23476,23478,23447,23457,23517.903918135475,23503.11480598268,NaN,NaN,23470.8531038494,23457.700708766744,NaN,NaN,23517.903918135475,23503.11480598268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23508
2025-06-13T10:28:00+02:00,23458,23463,23446,23456,23516.24016304046,23501.384054286234,NaN,NaN,23470.798568406,23457.619453844753,NaN,NaN,23516.24016304046,23501.384054286234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23507.5
2025-06-13T10:29:00+02:00,23456,23469,23453,23467,23514.808642948326,23499.917870823014,NaN,NaN,23470.786078347624,23457.587374304163,NaN,NaN,23514.808642948326,23499.917870823014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506.5
2025-06-13T10:30:00+02:00,23466,23466,23449,23453,23513.329593162012,23498.3749050405,NaN,NaN,23470.752841692432,23457.527739760386,NaN,NaN,23513.329593162012,23498.3749050405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506.5
2025-06-13T10:31:00+02:00,23451,23462,23451,23457,23511.77415094498,23496.939301857452,NaN,NaN,23470.692058069566,23457.48240823427,NaN,NaN,23511.77415094498,23496.939301857452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506.5
2025-06-13T10:32:00+02:00,23457,23457,23424,23440,23510.114328189073,23494.729019982984,NaN,NaN,23470.596974332973,23457.249891510422,NaN,NaN,23510.114328189073,23494.729019982984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:33:00+02:00,23440,23451,23440,23448,23508.322984910617,23493.070564831985,NaN,NaN,23470.46088423344,23457.130100597155,NaN,NaN,23508.322984910617,23493.070564831985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:34:00+02:00,23442,23444,23430,23437,23506.37380354969,23491.159335594653,NaN,NaN,23470.27712809293,23456.941697120787,NaN,NaN,23506.37380354969,23491.159335594653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:35:00+02:00,23438,23444,23428,23440,23504.48368829061,23489.245416334208,NaN,NaN,23470.09464803673,23456.740713113002,NaN,NaN,23504.48368829061,23489.245416334208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:36:00+02:00,23441,23450,23437,23448,23502.83266743332,23487.66222189984,NaN,NaN,23469.95510186981,23456.603624827494,NaN,NaN,23502.83266743332,23487.66222189984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:37:00+02:00,23450,23465,23450,23465,23501.686222965644,23486.52094244833,NaN,NaN,23469.92069144016,23456.55776632175,NaN,NaN,23501.686222965644,23486.52094244833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:38:00+02:00,23465,23468,23460,23465,23500.66542833032,23485.71727752565,NaN,NaN,23469.907353305156,23456.58167072229,NaN,NaN,23500.66542833032,23485.71727752565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23492.5
2025-06-13T10:39:00+02:00,23460,23462,23424,23429,23499.493748683948,23483.84705699457,NaN,NaN,23469.852441129427,23456.355409120053,NaN,NaN,23499.493748683948,23483.84705699457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23491.5
2025-06-13T10:40:00+02:00,23430,23435,23421,23423,23497.539392663224,23481.94260072201,NaN,NaN,23469.610410288253,23456.109885445607,NaN,NaN,23497.539392663224,23481.94260072201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23489
2025-06-13T10:41:00+02:00,23419,23419,23405,23405,23495.15941106737,23479.611006760737,NaN,NaN,23469.258949105697,23455.754955685567,NaN,NaN,23495.15941106737,23479.611006760737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23481
2025-06-13T10:42:00+02:00,23404,23410,23395,23410,23492.578822853207,23477.047036858898,NaN,NaN,23468.847428625795,23455.333046271084,NaN,NaN,23492.578822853207,23477.047036858898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23469
